PROVISIONAL ,,,,,,,,,,,,,,,,
AREFNO,Borough,Boro,Latitude,Longitude,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,CasualtyCount,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1200228974,Hounslow,25,51.47485168,-0.39697183,511427,176317,1,3 Pedestrian,2 Female,Oct-15,13,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200228995,Croydon,20,51.3968458,-0.11555503,531193,168108,3,2 Passenger,1 Male,Oct-15,11,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200229249,Southwark,8,51.48552079,-0.07060711,534060,178050,1,3 Pedestrian,1 Male,Oct-15,13,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200229291,Enfield,32,51.66077191,-0.07904691,532962,197523,1,2 Passenger,1 Male,Oct-15,15,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200229415,Bromley,19,51.40699857,-0.00634781,538759,169438,2,2 Passenger,1 Male,Oct-15,12,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200229455,Hillingdon,26,51.52262622,-0.4340854,508736,181574,1,3 Pedestrian,2 Female,Oct-15,12,1,3 Slight,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian
1200229502,Hillingdon,26,51.50991646,-0.39852329,511234,180214,2,2 Passenger,2 Female,Oct-15,12,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200229618,Waltham Forest,13,51.61154225,0.0187062,539874,192231,1,3 Pedestrian,1 Male,Oct-15,14,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200229657,Croydon,20,51.39927964,-0.11703627,531083,168376,1,2 Passenger,1 Male,Oct-15,15,1,2 Serious,'-2 Not Applicable,'-2 Not Applicable,3 Powered 2 Wheeler
1200229784,Haringey,31,51.59718957,-0.10970015,531025,190397,1,3 Pedestrian,1 Male,Oct-15,14,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200229854,Tower Hamlets,5,51.52621987,-0.02938479,536800,182652,1,2 Passenger,2 Female,Oct-15,14,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200229860,Brent,28,51.56003977,-0.29014911,518624,185958,1,3 Pedestrian,1 Male,Oct-15,15,1,2 Serious,04 Crossing Road Within 50M Xing,1 From Drivers N/Side,1 Pedestrian
1200229954,Southwark,8,51.4688139,-0.0625435,534669,176207,1,1 Driver/Rider,1 Male,Oct-15,14,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,2 Pedal Cycle
1200230006,Greenwich,6,51.46603663,0.02776882,540950,176068,1,3 Pedestrian,1 Male,Oct-15,12,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200230008,Newham,17,51.53180675,0.05533233,542659,183435,1,3 Pedestrian,2 Female,Oct-15,11,1,2 Serious,04 Crossing Road Within 50M Xing,3 From Drivers O/Side,1 Pedestrian
1200230116,Lewisham,7,51.43993356,-0.0639241,534658,172993,2,2 Passenger,1 Male,Oct-15,10,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200230146,Bromley,19,51.41375133,-0.05175662,535581,170104,1,3 Pedestrian,1 Male,Oct-15,12,1,3 Slight,04 Crossing Road Within 50M Xing,1 From Drivers N/Side,1 Pedestrian
1200230204,Lewisham,7,51.44968445,-0.04566546,535898,174111,1,3 Pedestrian,1 Male,Oct-15,15,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200230243,Newham,17,51.53160122,0.06345498,543223,183428,1,3 Pedestrian,1 Male,Oct-15,15,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200230296,Tower Hamlets,5,51.51322585,-0.04445933,535793,181179,1,3 Pedestrian,2 Female,Oct-15,10,1,2 Serious,04 Crossing Road Within 50M Xing,1 From Drivers N/Side,1 Pedestrian
1200230305,Lewisham,7,51.4314097,-0.01614719,538004,172134,1,3 Pedestrian,1 Male,Oct-15,14,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200230372,Southwark,8,51.46707366,-0.07262351,533974,175995,1,2 Passenger,2 Female,Oct-15,13,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200230419,Havering,15,51.55865278,0.25026858,556087,186818,1,3 Pedestrian,1 Male,Oct-15,12,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian
1200230465,Croydon,20,51.32197955,-0.09161375,533075,159826,1,3 Pedestrian,2 Female,Oct-15,15,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200230480,Enfield,32,51.6602991,-0.0590415,534347,197507,1,3 Pedestrian,1 Male,Oct-15,15,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200230499,Barking & Dagenham,16,51.58278359,0.13904215,548299,189270,1,3 Pedestrian,1 Male,Oct-15,10,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200230821,Havering,15,51.58179018,0.18711971,551633,189258,1,3 Pedestrian,1 Male,Oct-15,15,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200230836,Brent,28,51.5550572,-0.31560868,516872,185363,1,3 Pedestrian,2 Female,Oct-15,14,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200230836,Brent,28,51.5550572,-0.31560868,516872,185363,2,3 Pedestrian,2 Female,Oct-15,14,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200231048,Richmond-Upon-Thames,24,51.44557946,-0.36105679,513994,173117,1,2 Passenger,2 Female,Oct-15,13,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
